date,open,high,low,close,volume
2000-01-03,100.5375,101.3644,98.3833,100.3864,3691008
2000-01-04,99.8831,99.8847,98.7948,99.1612,1279979
2000-01-05,100.5714,101.4032,97.9781,100.0783,2586845
2000-01-06,102.0223,102.0964,100.3771,101.2345,1803705
2000-01-07,99.4947,100.0017,98.0767,98.9116,2312136
2000-01-10,97.2243,98.2449,96.7219,97.3975,4338857
2000-01-11,98.2778,98.4951,97.2384,97.5665,4240692
2000-01-12,97.3016,97.4209,97.0633,97.2164,3007049
2000-01-13,96.7061,97.5665,96.6766,97.2163,1025480
2000-01-14,95.5961,97.0842,95.286,96.2454,2101797
2000-01-17,96.7402,98.1729,96.2335,97.2859,3754869
2000-01-18,98.5148,98.9037,97.3872,98.2178,3192893
2000-01-19,98.4447,98.573,97.9403,98.3154,3013445
2000-01-20,100.2427,100.5354,98.8448,99.6742,2252671
2000-01-21,99.9639,100.4533,99.9286,100.255,4862669
2000-01-24,97.8732,100.6451,97.6576,99.2464,4601427
2000-01-25,98.7255,101.0288,97.741,99.7065,3399318
2000-01-26,99.6799,100.882,97.1109,98.5855,4430933
2000-01-27,100.52,100.8548,98.7335,99.6502,1305369
2000-01-28,99.9073,100.0816,98.7472,99.6104,1221738
2000-01-31,99.0505,99.981,98.8068,99.4095,3711511
2000-02-01,98.7001,99.0431,97.5686,98.6203,3548518
2000-02-02,100.5191,101.979,97.915,100.0978,1598792
2000-02-03,100.6454,100.7398,99.451,99.9323,4269145
2000-02-04,99.6685,99.9865,98.5864,99.4399,3863397
2000-02-07,99.2694,101.2381,97.0616,99.0404,1450596
2000-02-08,100.8459,101.5396,98.3403,99.695,3245237
2000-02-09,99.3682,101.0792,98.6056,100.1532,4421794
2000-02-10,100.7817,100.9817,100.0466,100.6706,3960957
2000-02-11,101.8097,102.106,100.7519,101.2126,2388008
2000-02-14,104.5254,104.7662,103.1033,103.8682,4183647
2000-02-15,103.3067,104.7248,102.8531,103.3836,1884771
2000-02-16,103.1017,103.2958,102.01,102.7706,4887059
2000-02-17,101.1289,102.7213,100.8049,101.7922,4928275
2000-02-18,102.7601,103.3224,100.8573,102.568,1856847
2000-02-21,104.4278,104.515,103.2709,103.9878,3596022
2000-02-22,103.2047,105.4895,103.1198,103.8664,4832217
2000-02-23,103.2178,104.6529,100.8157,102.8451,1807283
2000-02-24,101.8977,102.3773,100.9684,101.853,3720368
2000-02-25,102.9634,103.2193,101.835,102.6718,2883606
2000-02-28,103.3139,104.3791,103.1918,103.6123,2495900
2000-02-29,104.5456,104.6221,103.7779,104.3107,3395593
2000-03-01,104.5737,104.5893,102.0745,103.5017,2646282
2000-03-02,103.9779,104.4513,103.0075,103.8112,3703721
2000-03-03,103.8478,104.2104,103.5744,103.9775,4819447
2000-03-06,105.17,106.5504,102.7683,104.2716,1442258
2000-03-07,103.9782,106.0547,103.858,105.3887,1292780
2000-03-08,106.4803,107.2548,104.1185,105.693,3274698
2000-03-09,105.4116,107.7303,105.2372,106.5789,4826197
2000-03-10,106.3858,107.562,105.8257,106.6867,4312679
2000-03-13,106.9147,107.7946,106.7722,107.0789,2321726
2000-03-14,108.1676,108.4161,107.5091,107.9148,4116468
2000-03-15,106.96,108.2025,105.1389,106.0654,4603265
2000-03-16,106.6438,107.7518,104.0681,105.6804,1824233
2000-03-17,104.5454,106.454,104.4137,105.1066,971421
2000-03-20,104.3393,104.7788,104.0807,104.3248,4865867
2000-03-21,104.0711,105.0131,103.4267,104.0017,1215013
2000-03-22,106.2997,107.4814,104.5092,105.9054,556649
2000-03-23,103.3144,106.1302,102.9935,104.8317,1936257
2000-03-24,106.0992,106.5301,105.3086,106.0781,4005570
2000-03-27,103.6852,104.2026,103.3479,103.9782,3859308
2000-03-28,104.3215,104.4849,102.7479,103.5819,1927002
2000-03-29,103.5304,104.8523,102.4496,103.8052,3586221
2000-03-30,104.0915,105.8969,103.8862,104.5589,4735423
2000-03-31,104.2954,107.2335,103.9566,105.4762,531431
2000-04-03,105.9269,107.5622,105.3693,106.5064,4374754
2000-04-04,105.5477,107.091,105.0609,106.0829,3202488
2000-04-05,106.3334,106.897,104.1248,105.517,4465223
2000-04-06,107.1396,107.822,105.3638,106.6303,720511
2000-04-07,105.4772,108.0538,105.2632,106.4071,1633403
2000-04-10,106.2157,106.6874,103.5125,104.8116,2223116
2000-04-11,103.0351,104.6819,102.86,103.4165,4083869
2000-04-12,102.5337,102.9948,100.8437,102.3022,3547802
2000-04-13,102.391,103.2967,102.2773,102.9349,1996939
2000-04-14,103.3422,104.976,102.3562,103.1316,1588296
